epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
47,49246.6,0.80877,1.83032,0.61921,1.07602,0,0.91999,0.94496,0.97318,0.80535,0.91715,0.93543,0.96426,0.69159,0.61781,1.35136,0.43765,0.94563,0,0.0010892,0.0010892,0.0010892
48,49885.5,0.79775,1.78394,0.60753,1.07288,0,0.91791,0.94341,0.97573,0.82,0.91471,0.93411,0.96597,0.70189,0.60218,1.32194,0.41648,0.94006,0,0.0010694,0.0010694,0.0010694
49,50523.1,0.78256,1.77669,0.60749,1.05595,0,0.91319,0.95271,0.97645,0.82174,0.92284,0.93646,0.96855,0.70492,0.59876,1.34233,0.41693,0.93152,0,0.0010496,0.0010496,0.0010496
50,51164.8,0.78644,1.76705,0.5916,1.06397,0,0.92334,0.94298,0.97675,0.8173,0.9203,0.93988,0.96839,0.69184,0.60655,1.3487,0.40431,0.93979,0,0.0010298,0.0010298,0.0010298
51,51804.9,0.80046,1.80552,0.60835,1.07743,0,0.9225,0.93411,0.9762,0.82339,0.91779,0.92946,0.96875,0.70047,0.59931,1.36159,0.40627,0.93556,0,0.00101,0.00101,0.00101
52,52468.8,0.8034,1.80078,0.60821,1.07838,0,0.92215,0.95426,0.98064,0.84366,0.92353,0.94729,0.97569,0.71962,0.56232,1.29644,0.38542,0.92062,0,0.0009902,0.0009902,0.0009902
53,53187.8,0.80019,1.79857,0.5991,1.08114,0,0.93845,0.94031,0.98058,0.83679,0.93783,0.93543,0.97595,0.71154,0.57493,1.35237,0.39022,0.92282,0,0.0009704,0.0009704,0.0009704
54,54158.7,0.78481,1.77454,0.58124,1.06691,0,0.92189,0.95349,0.98024,0.84727,0.92039,0.95194,0.97759,0.72148,0.55273,1.28094,0.38067,0.91366,0,0.0009506,0.0009506,0.0009506
55,55194.4,0.76364,1.75,0.57263,1.05916,0,0.94408,0.93798,0.98312,0.84407,0.9407,0.93463,0.97499,0.72661,0.56882,1.27431,0.37308,0.91232,0,0.0009308,0.0009308,0.0009308
56,56209.2,0.7618,1.74088,0.57992,1.05427,0,0.93672,0.95659,0.98319,0.84396,0.93579,0.94893,0.98054,0.71931,0.55391,1.28692,0.37218,0.91108,0,0.000911,0.000911,0.000911
