epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,81027.1,0.74639,0.43822,1.03364,0.99253,1,0.99491,0.8695,0.55523,0.29646,0.88734,0.0007724,0.0007724,0.0007724
64,81391.7,0.73375,0.42281,1.01634,0.99564,0.99955,0.99491,0.86198,0.56527,0.29169,0.89323,0.0007526,0.0007526,0.0007526
65,81755.9,0.72079,0.42263,1.016,0.99394,1,0.99493,0.86873,0.56801,0.29607,0.89629,0.0007328,0.0007328,0.0007328
66,82118.4,0.72302,0.42423,1.01234,0.99753,0.99708,0.99491,0.86563,0.5726,0.29169,0.9029,0.000713,0.000713,0.000713
67,82482.9,0.72893,0.42296,1.01712,0.99339,0.99708,0.99458,0.86961,0.55218,0.29115,0.88391,0.0006932,0.0006932,0.0006932
68,82848.1,0.70451,0.40733,1.01146,0.99504,0.99854,0.99497,0.87007,0.54682,0.28381,0.88497,0.0006734,0.0006734,0.0006734
69,83212.6,0.71695,0.41619,1.01754,0.99292,0.99854,0.99493,0.8719,0.54762,0.28737,0.88699,0.0006536,0.0006536,0.0006536
70,83576.4,0.69686,0.41237,0.98985,0.99903,0.99708,0.995,0.88124,0.54171,0.27719,0.8788,0.0006338,0.0006338,0.0006338
71,83941.4,0.70047,0.40263,1.01131,0.99982,0.99854,0.995,0.87711,0.56405,0.27538,0.88386,0.000614,0.000614,0.000614
72,84306.4,0.69611,0.40845,1.0023,0.99735,0.99708,0.995,0.88673,0.53868,0.27163,0.87224,0.0005942,0.0005942,0.0005942
73,84670.9,0.69979,0.39526,1.00253,0.99808,0.99854,0.995,0.8815,0.54573,0.27595,0.88009,0.0005744,0.0005744,0.0005744
74,85035.4,0.69129,0.39182,1.01014,0.99709,0.99988,0.995,0.87967,0.5521,0.27298,0.88383,0.0005546,0.0005546,0.0005546
75,85398.6,0.6828,0.39822,0.99796,0.99556,0.99854,0.995,0.88634,0.53597,0.2654,0.87454,0.0005348,0.0005348,0.0005348
76,85763,0.66607,0.38825,0.9985,0.99589,0.99854,0.995,0.88812,0.53136,0.26531,0.87139,0.000515,0.000515,0.000515
77,86127.4,0.66855,0.38291,0.99295,0.99854,0.99962,0.995,0.88988,0.52841,0.26384,0.87167,0.0004952,0.0004952,0.0004952
78,86492.3,0.66685,0.38539,0.99497,0.99709,0.99922,0.995,0.8884,0.52954,0.26415,0.87039,0.0004754,0.0004754,0.0004754
79,86857.1,0.67226,0.38047,0.98121,0.99884,0.99854,0.995,0.89113,0.52465,0.26008,0.86641,0.0004556,0.0004556,0.0004556
80,87222,0.6643,0.3789,1.00083,0.99854,0.99921,0.995,0.89569,0.51954,0.25964,0.86438,0.0004358,0.0004358,0.0004358
81,87525.9,0.64289,0.37264,0.99155,1,0.99933,0.995,0.89022,0.52372,0.26117,0.86841,0.000416,0.000416,0.000416
82,87889.2,0.64274,0.36329,0.98239,0.99992,1,0.995,0.89833,0.49871,0.25112,0.85551,0.0003962,0.0003962,0.0003962
83,88252.6,0.63617,0.35734,0.9763,0.998,1,0.995,0.88996,0.50907,0.249,0.86062,0.0003764,0.0003764,0.0003764
84,88617,0.64574,0.37035,0.98815,0.99831,0.99854,0.995,0.88567,0.50751,0.25381,0.85838,0.0003566,0.0003566,0.0003566
85,88979.3,0.6548,0.35426,0.98448,1,0.99973,0.995,0.88777,0.50853,0.25223,0.857,0.0003368,0.0003368,0.0003368
86,89343.2,0.66485,0.37229,0.98,1,0.99988,0.995,0.89783,0.49617,0.24505,0.85253,0.000317,0.000317,0.000317
